Node	Degree	R[0]	R[0] Rank	R[N]	R[N] Ranking	
PRPH	1.00	0.98	280	0.00241	76
PRPH2	1.00	0.98	279	0.00241	75
CHD8	1.00	0.99	272	0.00070	374
GPLD1	1.00	0.85	349	0.00178	172
PIGL	1.00	0.85	348	0.00178	171
ATP6V0A1	1.00	0.81	392	0.00081	340
IL13RA1	1.00	1.00	268	0.00083	337
TYRP1	2.00	1.72	242	0.00146	238
RAD23A	2.00	1.98	200	0.00129	261
PDE10A	1.00	0.85	352	0.00100	309
PKHD1	1.00	0.86	335	0.00183	163
HNF1B	1.00	0.86	339	0.00183	164
PSME3	2.00	1.77	234	0.00112	288
SRD5A1	1.00	0.84	356	0.00065	388
TBX5	1.00	0.85	351	0.00074	360
DCT	1.00	0.90	318	0.00097	318
SCRIB	1.00	0.82	376	0.00075	357
CCL1	1.00	0.91	308	0.00067	384
ST3GAL4	1.00	0.83	362	0.00072	369
MED22	2.00	1.74	240	0.00104	302
CR2	1.00	0.99	271	0.00065	391
KCNA3	1.00	0.83	363	0.00170	189
KCNS3	1.00	0.83	364	0.00170	190
AREGB	1.00	0.86	341	0.00069	377
MEN1	2.00	1.74	239	0.00118	273
RUNX1	1.00	0.91	312	0.00095	321
TRIM25	2.00	1.67	246	0.00146	237
PDE1C	1.00	0.85	350	0.00100	307
6-Sep	1.00	0.84	355	0.00096	319
SEC24C	1.00	0.81	386	0.00084	335
SLC18A3	1.00	0.82	373	0.00167	202
RAB3A	1.00	0.82	372	0.00167	201
FASN	1.00	0.99	273	0.00075	355
PDE1B	1.00	0.83	368	0.00099	313
CACNA1A	1.00	0.95	297	0.00085	333
TRIM21	1.00	1.00	264	0.00076	352
SUPT6H	1.00	0.82	375	0.00075	356
CCS	1.00	0.95	294	0.00074	359
PKP1	1.00	0.93	306	0.00210	122
DSC1	1.00	0.93	305	0.00210	121
BMPR1A	2.00	1.91	207	0.00118	275
XDH	1.00	0.90	316	0.00081	341
TNFSF13B	1.00	0.86	338	0.00071	370
SRM	1.00	0.84	354	0.00174	181
ABP1	1.00	0.84	353	0.00174	180
DERL1	1.00	1.00	265	0.00110	293
INTS4	1.00	0.91	309	0.00204	133
KIAA0513	1.00	0.91	310	0.00204	134
SRD5A2	1.00	0.82	371	0.00065	389
ONECUT1	1.00	0.86	342	0.00074	358
UBA7	1.00	0.83	365	0.00095	320
